<https://hqdmtop.github.io/hqdm#amount_of_money_member_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#class_of_amount_of_money>
<https://hqdmtop.github.io/hqdm#amount_of_money_member_of_currency>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#amount_of_money>
<https://hqdmtop.github.io/hqdm#amount_of_money_member_of_currency>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#currency>
<https://hqdmtop.github.io/hqdm#asset>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#asset>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#participant>
<https://hqdmtop.github.io/hqdm#asset_participant_in>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#asset>
<https://hqdmtop.github.io/hqdm#asset_participant_in>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#ownership>
<https://hqdmtop.github.io/hqdm#association>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#individual>
<https://hqdmtop.github.io/hqdm#association>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#state_of_association>
<https://hqdmtop.github.io/hqdm#association_consists_of_participant>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#association>
<https://hqdmtop.github.io/hqdm#association_consists_of_participant>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#participant>
<https://hqdmtop.github.io/hqdm#association_member_of>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#association>
<https://hqdmtop.github.io/hqdm#association_member_of>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#class_of_association>
<https://hqdmtop.github.io/hqdm#association_member_of_kind>	<http://www.w3.org/2000/01/rdf-schema#domain>	<https://hqdmtop.github.io/hqdm#association>
<https://hqdmtop.github.io/hqdm#association_member_of_kind>	<http://www.w3.org/2000/01/rdf-schema#range>	<https://hqdmtop.github.io/hqdm#kind_of_association>
<https://hqdmtop.github.io/hqdm#beginning_of_ownership>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
<https://hqdmtop.github.io/hqdm#beginning_of_ownership>	<http://www.w3.org/2000/01/rdf-schema#subClassOf>	<https://hqdmtop.github.io/hqdm#event>
<https://hqdmtop.github.io/hqdm#biological_object>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://www.w3.org/2000/01/rdf-schema#Class>
